,dayofweek,month,dayofyear,dayofmonth,weekofyear
2020-02-01,5,2,32,1,5
2020-02-02,6,2,33,2,5
2020-02-03,0,2,34,3,6
2020-02-04,1,2,35,4,6
2020-02-05,2,2,36,5,6
2020-02-06,3,2,37,6,6
2020-02-07,4,2,38,7,6
2020-02-08,5,2,39,8,6
2020-02-09,6,2,40,9,6
2020-02-10,0,2,41,10,7
2020-02-11,1,2,42,11,7
2020-02-12,2,2,43,12,7
2020-02-13,3,2,44,13,7
2020-02-14,4,2,45,14,7
2020-02-15,5,2,46,15,7
2020-02-16,6,2,47,16,7
2020-02-17,0,2,48,17,8
2020-02-18,1,2,49,18,8
2020-02-19,2,2,50,19,8
2020-02-20,3,2,51,20,8
2020-02-21,4,2,52,21,8
2020-02-22,5,2,53,22,8
2020-02-23,6,2,54,23,8
2020-02-24,0,2,55,24,9
2020-02-25,1,2,56,25,9
2020-02-26,2,2,57,26,9
2020-02-27,3,2,58,27,9
2020-02-28,4,2,59,28,9
2020-02-29,5,2,60,29,9
2020-03-01,6,3,61,1,9
2020-03-02,0,3,62,2,10
2020-03-03,1,3,63,3,10
2020-03-04,2,3,64,4,10
2020-03-05,3,3,65,5,10
2020-03-06,4,3,66,6,10
2020-03-07,5,3,67,7,10
2020-03-08,6,3,68,8,10
2020-03-09,0,3,69,9,11
2020-03-10,1,3,70,10,11
2020-03-11,2,3,71,11,11
2020-03-12,3,3,72,12,11
2020-03-13,4,3,73,13,11
2020-03-14,5,3,74,14,11
2020-03-15,6,3,75,15,11
2020-03-16,0,3,76,16,12
2020-03-17,1,3,77,17,12
2020-03-18,2,3,78,18,12
2020-03-19,3,3,79,19,12
2020-03-20,4,3,80,20,12
2020-03-21,5,3,81,21,12
2020-03-22,6,3,82,22,12
2020-03-23,0,3,83,23,13
2020-03-24,1,3,84,24,13
2020-03-25,2,3,85,25,13
2020-03-26,3,3,86,26,13
2020-03-27,4,3,87,27,13
2020-03-28,5,3,88,28,13
2020-03-29,6,3,89,29,13
2020-03-30,0,3,90,30,14
2020-03-31,1,3,91,31,14
2020-04-01,2,4,92,1,14
2020-04-02,3,4,93,2,14
2020-04-03,4,4,94,3,14
2020-04-04,5,4,95,4,14
2020-04-05,6,4,96,5,14
2020-04-06,0,4,97,6,15
2020-04-07,1,4,98,7,15
2020-04-08,2,4,99,8,15
2020-04-09,3,4,100,9,15
2020-04-10,4,4,101,10,15
2020-04-11,5,4,102,11,15
2020-04-12,6,4,103,12,15
2020-04-13,0,4,104,13,16
2020-04-14,1,4,105,14,16
2020-04-15,2,4,106,15,16
2020-04-16,3,4,107,16,16
2020-04-17,4,4,108,17,16
2020-04-18,5,4,109,18,16
2020-04-19,6,4,110,19,16
2020-04-20,0,4,111,20,17
2020-04-21,1,4,112,21,17
2020-04-22,2,4,113,22,17
2020-04-23,3,4,114,23,17
2020-04-24,4,4,115,24,17
2020-04-25,5,4,116,25,17
2020-04-26,6,4,117,26,17
2020-04-27,0,4,118,27,18
2020-04-28,1,4,119,28,18
2020-04-29,2,4,120,29,18
2020-04-30,3,4,121,30,18
2020-05-01,4,5,122,1,18
2020-05-02,5,5,123,2,18
2020-05-03,6,5,124,3,18
2020-05-04,0,5,125,4,19
2020-05-05,1,5,126,5,19
2020-05-06,2,5,127,6,19
2020-05-07,3,5,128,7,19
2020-05-08,4,5,129,8,19
2020-05-09,5,5,130,9,19
2020-05-10,6,5,131,10,19
2020-05-11,0,5,132,11,20
2020-05-12,1,5,133,12,20
2020-05-13,2,5,134,13,20
2020-05-14,3,5,135,14,20
2020-05-15,4,5,136,15,20
2020-05-16,5,5,137,16,20
2020-05-17,6,5,138,17,20
2020-05-18,0,5,139,18,21
2020-05-19,1,5,140,19,21
2020-05-20,2,5,141,20,21
2020-05-21,3,5,142,21,21
2020-05-22,4,5,143,22,21
2020-05-23,5,5,144,23,21
2020-05-24,6,5,145,24,21
2020-05-25,0,5,146,25,22
2020-05-26,1,5,147,26,22
2020-05-27,2,5,148,27,22
2020-05-28,3,5,149,28,22
2020-05-29,4,5,150,29,22
2020-05-30,5,5,151,30,22
2020-05-31,6,5,152,31,22
2020-06-01,0,6,153,1,23
2020-06-02,1,6,154,2,23
2020-06-03,2,6,155,3,23
2020-06-04,3,6,156,4,23
2020-06-05,4,6,157,5,23
2020-06-06,5,6,158,6,23
2020-06-07,6,6,159,7,23
2020-06-08,0,6,160,8,24
2020-06-09,1,6,161,9,24
2020-06-10,2,6,162,10,24
2020-06-11,3,6,163,11,24
2020-06-12,4,6,164,12,24
2020-06-13,5,6,165,13,24
2020-06-14,6,6,166,14,24
2020-06-15,0,6,167,15,25
2020-06-16,1,6,168,16,25
2020-06-17,2,6,169,17,25
2020-06-18,3,6,170,18,25
2020-06-19,4,6,171,19,25
2020-06-20,5,6,172,20,25
2020-06-21,6,6,173,21,25
2020-06-22,0,6,174,22,26
2020-06-23,1,6,175,23,26
2020-06-24,2,6,176,24,26
2020-06-25,3,6,177,25,26
2020-06-26,4,6,178,26,26
2020-06-27,5,6,179,27,26
2020-06-28,6,6,180,28,26
2020-06-29,0,6,181,29,27
2020-06-30,1,6,182,30,27
