X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.078020994,4.65482224184719,326422,A001132495,10511047,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.055914087,4.69387615284597,326430,A001133093,10510968,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.073112895,4.64880606884741,326432,A001133587,10510977,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.092692853,4.60237128884895,326439,A001132704,10510979,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.112823314,4.65189788484729,326442,A001131778,10510981,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.04905017,4.68235398784631,326443,A001133305,10510982,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.121347033,4.72222083284502,326445,A001133452,10510985,2020/02/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.128088877,4.60691315984876,326449,A001133424,10510999,2020/02/13 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,PUENTE ARANDA
-74.0937530859999,4.73997679984441,326454,A001132467,10511017,2020/02/14 00:00:00+00,2020,CON HERIDOS,VOLCAMIENTO,SUBA
-74.117647614,4.57061821584997,326455,A001133776,10511018,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,RAFAEL URIBE URIBE
-74.050800964,4.660909796847,354552,A001127971,10514994,2020/01/24 00:00:00+00,2020,CON HERIDOS,CHOQUE,CHAPINERO
-74.0569429349999,4.66005993684702,354553,A001128303,10514995,2020/04/24 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.075866402,4.70827689784549,354554,A001127884,10514997,2020/04/22 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.1187451069999,4.5816669278496,354555,A001128367,10515002,2020/04/25 00:00:00+00,2020,CON HERIDOS,CHOQUE,RAFAEL URIBE URIBE
-74.1218383679999,4.64340735984756,354556,A001127574,10515008,2020/04/23 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
